2022-03-17T15-24-47: LogOut_File: : logfile started
2022-03-17T15-24-47: Net Status: low-level initialize success.
2022-03-17T15-24-47: Note: this version (1/29/2017) has new data fields added
2022-03-17T15-24-47: time = time since start of game in ms.
2022-03-17T15-24-47: address = address of IP address
2022-03-17T15-24-47: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2022-03-17T15-24-47: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2022-03-17T15-24-47: app_ctos = client to server bytes delta excluding overheads (app data only)
2022-03-17T15-24-47: app_stoc = server to client bytes delta excluding overheads (app data only)
2022-03-17T15-24-47: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2022-03-17T15-24-47: sent = number of packets sent. Spikes can indicate lag.
2022-03-17T15-24-47: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2022-03-17T15-24-47: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2022-03-17T15-24-47: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2022-03-17T15-24-47: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2022-03-17T15-24-47: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2022-03-17T15-24-47: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2022-03-17T15-24-47: Latency in Window = The average Latency in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Packet Loss percentage in Window = The packet loss percentage of Reliable packets during this time slice
2022-03-17T15-24-47: Jitter in Window = The average Jitter in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Overall Latency Min = The lowest Latency seen in ms. of Reliable packets up to this point in time
2022-03-17T15-24-47: Overall Latency Max = The largest Latency seen in ms. of Reliable packets up to this point in time
2022-03-17T15-24-47: Latency Min in Window = The lowest Latency seen in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Latency Max in Window = The largest Latency seen in ms. of Reliable packets during this time slice
2022-03-17T15-24-47: Latency packet samples = number of packets used in determining average latency from start of game
2022-03-17T15-24-47: Jitter packet samples = number of packets used in determining average jitter from start of game
2022-03-17T15-24-47: reconnect = flag to indicate one or more reconnects occurred
2022-03-17T15-24-47: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss percentage in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
10012,X.X.X.X,16864,5388,5388,16864,0,27,44,0,0,0,0,0,44,0.000000,1,44,44,44,44,23,23,1
20024,X.X.X.X,27660,11800,6412,10796,0,61,66,0,0,0,0,0,66,0.000000,2,66,66,66,66,58,58,0
47154,X.X.X.X,52323,16587,4787,24663,0,80,71,0,0,0,0,0,71,0.000000,2,71,71,71,71,77,77,0
57163,X.X.X.X,65769,31520,14933,13446,0,155,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,152,152,0
67172,X.X.X.X,76127,45426,13906,10358,0,230,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,227,227,0
77172,X.X.X.X,85596,53071,7645,9469,0,269,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,265,265,0
87180,X.X.X.X,93820,59184,6113,8224,0,304,77,0,0,0,0,0,77,0.000000,3,77,77,77,77,301,301,0
97188,X.X.X.X,128911,71417,12233,35091,0,418,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,414,414,0
107201,X.X.X.X,166074,92496,21079,37163,0,647,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,642,642,0
117213,X.X.X.X,223375,117915,25419,57301,0,909,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,904,904,0
127222,X.X.X.X,284500,141997,24082,61125,0,1175,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,1170,1170,0
137234,X.X.X.X,361936,164414,22417,77436,0,1451,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,1446,1446,0
147247,X.X.X.X,408314,185306,20892,46378,0,1708,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,1704,1704,0
157254,X.X.X.X,463346,206074,20768,55032,0,1984,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,1979,1979,0
167261,X.X.X.X,542089,226448,20374,78743,0,2249,76,0,0,0,0,0,76,0.000000,2,76,76,76,76,2243,2243,0
177275,X.X.X.X,645406,248724,22276,103317,0,2539,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,2534,2534,0
187279,X.X.X.X,753333,270142,21418,107927,0,2820,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,2814,2814,0
197291,X.X.X.X,839495,290352,20210,86162,0,3104,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,3100,3100,0
207305,X.X.X.X,960523,313542,23190,121028,0,3410,76,0,0,0,0,0,76,0.000000,1,76,76,76,76,3405,3405,0
217318,X.X.X.X,1053051,335483,21941,92528,0,3700,77,0,0,0,0,0,77,0.000000,1,77,77,77,77,3696,3696,0
227330,X.X.X.X,1148137,356586,21103,95086,0,3971,77,0,0,0,0,0,77,0.000000,2,77,77,77,77,3967,3967,0
