game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.030866,0.000011,0.000000,23,100,Ethernet,16864,5388,1,3,0,3,0,0,186,0,0,25,0,23,0,0,0,123,127,138.0.15.115,5102,0.008516,0,0,0.069901,0.003452,Connected,2591139810092352,10.012909,7,
0.031484,0.000027,0.000000,35,176,Ethernet,10796,6412,0,0,0,0,0,0,355,0,0,34,0,35,0,0,0,211,210,138.0.15.115,5102,0.005804,0,0,0.069800,0.002859,Connected,2591139810092352,10.012001,7,
0.031258,0.000259,0.062127,19,132,Ethernet,24663,4787,0,0,0,0,0,0,1943,0,0,60,0,19,0,0,0,151,151,138.0.15.115,5102,0.006132,0,0,0.070008,0.002751,Connected,2591139810092352,27.129942,7,
0.008575,0.000072,0.062127,75,212,Ethernet,13446,14933,0,0,0,0,0,0,442,0,0,74,0,75,0,0,0,287,287,138.0.15.115,5102,0.012211,0,0,0.069852,0.002575,Connected,2591139810092352,10.008361,7,
0.008491,0.000068,0.062127,75,192,Ethernet,10358,13906,0,0,0,0,0,0,300,0,0,75,0,75,0,0,0,267,267,138.0.15.115,5102,0.008323,0,0,0.069748,0.002681,Connected,2591139810092352,10.008905,7,
0.008449,0.000068,0.062127,38,186,Ethernet,9469,7645,0,0,0,0,0,0,299,0,0,40,0,38,0,0,0,224,225,138.0.15.115,5102,0.005897,0,0,0.070281,0.002884,Connected,2591139810092352,10.000014,7,
0.008547,0.000067,0.062127,36,165,Ethernet,8224,6113,0,0,0,0,0,0,250,0,0,34,0,36,0,0,0,201,200,138.0.15.115,5102,0.005647,0,0,0.070370,0.003225,Connected,2591139810092352,10.008626,7,
0.013177,0.000412,5.015196,113,237,Ethernet,35091,12233,0,0,0,0,0,0,602,0,0,127,0,113,0,0,0,350,351,138.0.15.115,5102,0.010653,0,0,0.069849,0.002388,Connected,2591139810092352,10.007806,7,
0.016688,0.000000,15.027451,228,240,Ethernet,37163,21079,0,0,0,0,0,0,405,0,0,255,0,228,0,0,0,468,469,138.0.15.115,5102,0.015494,0,0,0.070079,0.002130,Connected,2591139810092352,10.012718,7,
0.016688,0.000000,25.039385,262,308,Ethernet,57301,25419,0,0,0,0,0,0,1861,0,0,303,0,262,0,0,0,570,570,138.0.15.115,5102,0.020600,0,0,0.069844,0.001750,Connected,2591139810092352,10.012504,7,
0.016709,0.000000,35.047531,266,318,Ethernet,61125,24082,0,0,0,0,0,0,2244,0,0,324,0,266,0,0,0,584,584,138.0.15.115,5102,0.021157,0,0,0.069944,0.001812,Connected,2591139810092352,10.008528,7,
0.016687,0.000000,45.059616,276,318,Ethernet,77436,22417,0,0,0,0,0,0,1815,0,0,359,0,276,0,0,0,594,594,138.0.15.115,5102,0.020800,0,0,0.069983,0.002027,Connected,2591139810092352,10.012470,7,
0.016688,0.000000,55.071774,258,307,Ethernet,46378,20892,0,0,0,0,0,0,1497,0,0,319,0,258,0,0,0,565,564,138.0.15.115,5102,0.018999,0,0,0.070041,0.001696,Connected,2591139810092352,10.012558,7,
0.016706,0.000000,65.078537,275,315,Ethernet,55032,20768,0,0,0,0,0,0,1265,0,0,334,0,275,0,0,0,590,591,138.0.15.115,5102,0.019856,0,0,0.070161,0.001730,Connected,2591139810092352,10.007011,7,
0.016734,0.000001,75.085098,264,321,Ethernet,78743,20374,0,0,0,0,0,0,1939,0,0,347,0,264,0,0,0,585,586,138.0.15.115,5102,0.020555,0,0,0.069979,0.002032,Connected,2591139810092352,10.006897,7,
0.016691,0.000000,85.099136,291,333,Ethernet,103317,22276,0,0,0,0,0,0,2219,0,0,431,0,291,0,0,0,624,623,138.0.15.115,5102,0.022170,0,0,0.069707,0.001998,Connected,2591139810092352,10.014575,7,
0.016784,0.000006,95.102303,280,348,Ethernet,107927,21418,0,0,0,0,0,0,2526,0,0,393,0,280,0,0,0,628,629,138.0.15.115,5102,0.022546,0,0,0.069974,0.002049,Connected,2591139810092352,10.003514,7,
0.016688,0.000000,105.114288,286,318,Ethernet,86162,20210,0,0,0,0,0,0,2056,0,0,385,0,286,0,0,0,604,602,138.0.15.115,5102,0.021745,0,0,0.069908,0.001921,Connected,2591139810092352,10.012585,7,
0.016690,0.000000,115.127815,305,357,Ethernet,121028,23190,0,0,0,0,0,0,2604,0,0,429,0,305,0,0,0,662,663,138.0.15.115,5102,0.023410,0,0,0.069983,0.001936,Connected,2591139810092352,10.013965,7,
0.016687,0.000000,125.139717,291,339,Ethernet,92528,21941,0,0,0,0,0,0,2076,0,0,408,0,291,0,0,0,630,629,138.0.15.115,5102,0.021695,0,0,0.069822,0.001936,Connected,2591139810092352,10.012497,7,
0.016715,0.000000,135.151535,271,339,Ethernet,95086,21103,0,0,0,0,0,0,2526,0,0,389,0,271,0,0,0,610,610,138.0.15.115,5102,0.022056,0,0,0.069795,0.001941,Connected,2591139810092352,10.012364,7,
0.016760,0.000001,145.157104,300,345,Ethernet,104843,22587,0,0,0,0,0,0,2365,0,0,423,0,300,0,0,0,645,645,138.0.15.115,5102,0.023075,0,0,0.070016,0.001716,Connected,2591139810092352,10.005893,7,
